date,contestant_name,instagram_handle,season,cast_list,followers,following,post_count,is_private,full_name,biography,error
2026-08-25,Mark Zgoda,markzgoda,5,new_blood,20000,2071,62,,Mark Zgoda,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Michael Foote,dept_of_redundancy_dept,5,new_blood,,,,,,,"connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 401 Unauthorized - ""fail"" status, message ""Please wait a few minutes before you try again."" when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=dept_of_redundancy_dept | html_fallback failed: [html] could not find a description meta tag on the page — raw HTML saved to /Users/lindsaywhipple/Desktop/The Faithful Effect/follower_tracker/data/.debug_html/dept_of_redundancy_dept_html.html for inspection | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /Users/lindsaywhipple/Desktop/The Faithful Effect/follower_tracker/data/.debug_html/dept_of_redundancy_dept_selenium.html for inspection"
2026-08-25,Morgan Cook,morganevelyncook,5,new_blood,1000000,865,292,,Morgan Cook,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Niyyah Bilal Hayes,niyyahx,5,new_blood,3452,2143,119,,★ NIYYAH BILAL HAYES ★,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Shane Beatty,shanebeatty_,5,new_blood,1651,2095,8,,Shane,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Sherry Kuehl,snarky.in.the.suburbs,5,new_blood,240000,518,1079,,Sherry Kuehl,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Tomica Adams,ladyofthesky,5,new_blood,2691,1950,496,False,Tomica Adams,"A Christian, a mom, an AKA, a daughter, a sister, a friend and a pilot... That's all",
2026-08-25,Victor Vollbrechthausen,victorvoll,5,new_blood,1973,1322,22,False,Victor Vollbrechthausen,"Up and to the right 📈
.
.
.
Inquiries: jero@20Xentertainment.com",
2026-08-25,Wyatt Gillespie,wyatt_gillespie,5,new_blood,5443,1016,32,False,,"The Traitors: New Blood 🩸 
Faithful or Traitor?
Find out Sep 17th @ 8pm
On @NBC & @Peacock
@thetraitorsus",
2026-08-25,Xavier Scruggs,xavierscruggs,5,new_blood,49232,3046,3805,False,X!,"⚾️ Former MLB | National MLB Analyst
🎙️ The Leadoff Spot | MLB Network
🧠 Modern Player Development & Tech
👨‍👦 Faith • Family • Growth
🎥: @showngowithx",
2026-08-28,Abbey Luckett Benjamin,abbeybenj,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=abbeybenj | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fabbeybenj%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: Chrome driver startup hung for 25s+ — likely a CI environment issue (headless Chrome failing to launch). Not retrying further within this fallback.
2026-08-28,Abby Lee,abbylee_.7,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=abbylee_.7 | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fabbylee_.7%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/abbylee_.7_selenium.html for inspection
2026-08-28,Arisa Thomas,arisathegroomer,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=arisathegroomer | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Farisathegroomer%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/arisathegroomer_selenium.html for inspection
2026-08-28,Ben McDonnell,mcdonnellben,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=mcdonnellben | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fmcdonnellben%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/mcdonnellben_selenium.html for inspection
2026-08-28,Clyde,astoldbyclyde,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=astoldbyclyde | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fastoldbyclyde%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/astoldbyclyde_selenium.html for inspection
